Hour,Demand (MWh)
1,21.08784473
2,42.77622133
3,7.340005978
4,20.2858825
5,30.9926091
6,16.99647646
7,44.18688374
8,22.46361581
9,28.81101143
10,42.55686824
11,37.9925693
12,10.72350158
13,22.08926917
14,4.358683583
15,18.0560872
16,1.494656312
17,18.57782212
18,29.49499513
19,39.44516748
20,24.94209089
21,46.54051219
22,20.61026656
23,20.73861941
24,17.77859473
25,32.80041358
26,7.392801326
27,5.759777241
28,2.252201773
29,38.71912116
30,40.7742902
31,39.75662074
32,15.55638187
33,22.71457068
34,12.27208335
35,0.9236713777
36,25.0526448
37,42.89310137
38,27.83361163
39,30.16268446
40,49.90036629
41,34.90474281
42,1.52872527
43,5.543640579
44,8.956190062
45,48.22634285
46,9.484544473
47,13.05445341
48,28.13545706
49,48.73542519
50,8.568740715
51,21.91730695
52,17.82067105
53,46.65830145
54,27.50099391
55,31.00145915
56,22.35711414
57,36.75922658
58,30.30870653
59,12.6768133
60,49.1932877
61,41.9830328
62,33.34188083
63,41.82950388
64,4.803929414
65,32.67193534
66,27.42338272
67,10.7002188
68,48.17593926
69,0.9478630544
70,16.1346666
71,44.70789236
72,20.34264751
