Hour,Demand (kg)
1,3.884890201
2,29.72333751
3,0.4859062548
4,20.21938
5,49.69204649
6,11.66778279
7,44.98484121
8,22.82342583
9,38.28498226
10,1.545394932
11,33.68531333
12,25.85402794
13,31.34568029
14,3.524791869
15,26.71636259
16,14.56313762
17,17.25257986
18,34.53870399
19,3.989303918
20,2.865228241
21,3.109226193
22,39.99308006
23,14.33394798
24,40.71455071
25,9.507711564
26,47.72925831
27,19.06348547
28,23.9207915
29,13.63392741
30,2.879897411
31,17.39635387
32,2.77917279
33,32.85480077
34,37.24566582
35,19.72779269
36,10.15860649
37,14.023442
38,26.86856075
39,14.87080645
40,18.02159468
41,43.39627853
42,30.58898643
43,9.075646779
44,33.74215704
45,18.277009
46,30.54763364
47,47.88894167
48,14.04312503
49,24.28537298
50,12.8294504
51,16.72799746
52,4.891741537
53,41.49444792
54,32.74588579
55,2.422786164
56,10.27255431
57,8.588404551
58,4.612869036
59,35.91757317
60,1.399217537
61,6.66331883
62,40.30585623
63,25.82609291
64,0.6318277492
65,33.32688658
66,34.35955355
67,33.59863494
68,11.13407113
69,23.34854391
70,5.928825223
71,33.68635234
72,14.13447131
