Datetime,% of Rated Output
2023-09-01 0:00,0
2023-09-01 1:00,0
2023-09-01 2:00,0
2023-09-01 3:00,0
2023-09-01 4:00,0
2023-09-01 5:00,0
2023-09-01 6:00,0.003
2023-09-01 7:00,0.125
2023-09-01 8:00,0.324
2023-09-01 9:00,0.499
2023-09-01 10:00,0.628
2023-09-01 11:00,0.691
2023-09-01 12:00,0.708
2023-09-01 13:00,0.676
2023-09-01 14:00,0.596
2023-09-01 15:00,0.478
2023-09-01 16:00,0.336
2023-09-01 17:00,0.179
2023-09-01 18:00,0.045
2023-09-01 19:00,0
2023-09-01 20:00,0
2023-09-01 21:00,0
2023-09-01 22:00,0
2023-09-01 23:00,0
2023-09-02 0:00,0
2023-09-02 1:00,0
2023-09-02 2:00,0
2023-09-02 3:00,0
2023-09-02 4:00,0
2023-09-02 5:00,0
2023-09-02 6:00,0.003
2023-09-02 7:00,0.119
2023-09-02 8:00,0.313
2023-09-02 9:00,0.488
2023-09-02 10:00,0.616
2023-09-02 11:00,0.695
2023-09-02 12:00,0.726
2023-09-02 13:00,0.711
2023-09-02 14:00,0.611
2023-09-02 15:00,0.495
2023-09-02 16:00,0.359
2023-09-02 17:00,0.208
2023-09-02 18:00,0.052
2023-09-02 19:00,0
2023-09-02 20:00,0
2023-09-02 21:00,0
2023-09-02 22:00,0
2023-09-02 23:00,0
2023-09-03 0:00,0
2023-09-03 1:00,0
2023-09-03 2:00,0
2023-09-03 3:00,0
2023-09-03 4:00,0
2023-09-03 5:00,0
2023-09-03 6:00,0.002
2023-09-03 7:00,0.117
2023-09-03 8:00,0.305
2023-09-03 9:00,0.48
2023-09-03 10:00,0.613
2023-09-03 11:00,0.696
2023-09-03 12:00,0.732
2023-09-03 13:00,0.724
2023-09-03 14:00,0.669
2023-09-03 15:00,0.566
2023-09-03 16:00,0.418
2023-09-03 17:00,0.233
2023-09-03 18:00,0.053
2023-09-03 19:00,0
2023-09-03 20:00,0
2023-09-03 21:00,0
2023-09-03 22:00,0
2019-09-03 23:00,0
